ID,Name,Type,Organization
7682,"GAJIC-MILOSEVIC, Milica",individual,BALKANS
7683,"GALIC, Stanislav",individual,BALKANS
7686,"GRUBAN, Momcilo",individual,BALKANS
7687,"HABIBI, Skender",individual,BALKANS
7688,"HADZIHASANOVIC, Enver",individual,BALKANS
7689,"HALILI, Nevzat",individual,BALKANS
7691,"HARADINAJ, Daut",individual,BALKANS
7692,"HASANI, Zhavit",individual,BALKANS
7693,"HAXHIREXHA, Kastriot",individual,BALKANS
7695,"IVANOVIC, Milan",individual,BALKANS
7696,"JAKSIC, Marko",individual,BALKANS
7697,"JANKOVIC, Gojko",individual,BALKANS
7698,"JELAVIC, Ante",individual,BALKANS
7699,"JELISIC, Goran",individual,BALKANS
7700,"JOKIC, Dragan",individual,BALKANS
7701,"JOKIC, Miodrag",individual,BALKANS
7704,"KARADZIC, Luka",individual,BALKANS
7705,"KARADZIC, Radovan",individual,BALKANS
7706,"KARADZIC-JOVICEVIC, Sonja",individual,BALKANS
7707,"KNEZEVIC, Dusan",individual,BALKANS
7708,"KORDIC, Dario",individual,BALKANS
7709,"KOS, Milojica",individual,BALKANS
7710,"KOVACEVIC, Vladimir",individual,BALKANS
7712,"KRNOJELAC, Milorad",individual,BALKANS
7713,"KRSTIC, Radislav",individual,BALKANS
7714,"KRYEZIU, Izmet",individual,BALKANS
7715,"KUBURA, Amir",individual,BALKANS
7716,"KUNARAC, Dragoljub",individual,BALKANS
7717,"KVOCKA, Miroslav",individual,BALKANS
7718,"LALOVIC, Dragan",individual,BALKANS
7720,"LIBERATION ARMY OF PRESEVO, MEDVEDJA, AND BUJANOVAC",-0- ,BALKANS
7721,"LIMAJ, Fatmir",individual,BALKANS
7723,"LLADROVICI, Ramiz",individual,BALKANS
7724,"LUKIC, Milan",individual,BALKANS
7725,"LUKIC, Sredoje",individual,BALKANS
7726,"LUKOVIC, Milorad Ulemek",individual,BALKANS
7727,"LUSHTAKU, Sami",individual,BALKANS
7728,MANCO OIL COMPANY,-0- ,BALKANS
7729,"MANDIC, Momcilo",individual,BALKANS
7731,"MARKOVIC, Mirjana",individual,BALKANS
7732,"MARKOVIC, Radovac",individual,BALKANS
7733,"MARKU, Ton",individual,BALKANS
